guid,name,creation_timestamp,creation_source,spec_default,spec_description
3508aac2-90fb-61aa-989d-84e869f3ef71,dashboard_enabled_0,2025-04-23T18:44:38.410285,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control enabled for dashboard
a15da7bd-a833-205b-9fc5-1962ad325218,dashboard_beta_1,2025-04-23T18:44:38.410290,posthog/posthog_fork/frontend/src/lib/constants,false,Flag to control beta for dashboard
2a8165be-6370-0c0b-5a59-7c5bca603fbf,dashboard_preview_2,2025-04-23T18:44:38.410294,posthog/posthog_fork/frontend/src/lib/constants,false,Flag to control preview for dashboard
c4792bad-0020-b117-f7e5-f02f5f0b8554,dashboard_new_ui_3,2025-04-23T18:44:38.410298,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control new_ui for dashboard
a7811412-0299-3369-cace-e8c08cd16185,dashboard_improved_4,2025-04-23T18:44:38.410302,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control improved for dashboard
74ab12ed-f65c-7a2c-a548-6c72282fe2d3,dashboard_redesigned_5,2025-04-23T18:44:38.410306,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control redesigned for dashboard
f5a6ab70-6f4a-59cc-7770-d803e80bcd1a,dashboard_optimized_6,2025-04-23T18:44:38.410310,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control optimized for dashboard
62fec8f3-229a-e3bb-06a7-f768b6f59163,dashboard_debug_7,2025-04-23T18:44:38.410315,posthog/posthog_fork/frontend/src/lib/constants,false,Flag to control debug for dashboard
7b3b9a24-38b1-2396-53fc-b35ff1d578cd,dashboard_alt_experience_8,2025-04-23T18:44:38.410319,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control alt_experience for dashboard
ad5acce4-e940-6ddf-abf1-06bd733fea1f,dashboard_simplified_9,2025-04-23T18:44:38.410323,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control simplified for dashboard
3d36d28d-57be-233b-db20-21895c94e8e1,dashboard_advanced_10,2025-04-23T18:44:38.410327,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control advanced for dashboard
c67559c5-738d-b7bf-fe64-ad5c7014cdff,dashboard_enterprise_11,2025-04-23T18:44:38.410331,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control enterprise for dashboard
ae9776e2-197e-771f-c6cf-50824a4cafaf,dashboard_custom_12,2025-04-23T18:44:38.410335,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control custom for dashboard
8cf7b5a7-a0e2-0e63-d232-61f8c958f0fb,insights_enabled_13,2025-04-23T18:44:38.410339,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control enabled for insights
7fa1a959-97e2-697b-9ce9-0aadc99b827d,insights_beta_14,2025-04-23T18:44:38.410343,posthog/posthog_fork/frontend/src/lib/constants,false,Flag to control beta for insights
e0f1d0c7-390f-5f56-179c-206772e92f5f,insights_preview_15,2025-04-23T18:44:38.410346,posthog/posthog_fork/frontend/src/lib/constants,false,Flag to control preview for insights
2d5aaf54-1d03-25fa-817e-e755a11363c6,insights_new_ui_16,2025-04-23T18:44:38.410352,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control new_ui for insights
a9e5d11a-f433-877c-3175-3b41682f4b69,insights_improved_17,2025-04-23T18:44:38.410356,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control improved for insights
51ade2c7-ec54-f4f3-7feb-fc48927e79c2,insights_redesigned_18,2025-04-23T18:44:38.410360,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control redesigned for insights
6e435716-3791-ab89-dbc1-5d2a2fd2f395,insights_optimized_19,2025-04-23T18:44:38.410364,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control optimized for insights
8d63fc18-809e-3aff-2742-7be6d2ba3402,insights_debug_20,2025-04-23T18:44:38.410368,posthog/posthog_fork/frontend/src/lib/constants,false,Flag to control debug for insights
2bb5ba6b-4a09-6544-4db1-bed2ade4e3a7,insights_alt_experience_21,2025-04-23T18:44:38.410373,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control alt_experience for insights
0a018319-c0d6-7987-d0d9-9985117cd17d,insights_simplified_22,2025-04-23T18:44:38.410377,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control simplified for insights
82800879-6759-8ced-7e19-c642c58957ff,insights_advanced_23,2025-04-23T18:44:38.410381,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control advanced for insights
30e48a50-c0b6-898d-bc31-5434ca968bf4,insights_enterprise_24,2025-04-23T18:44:38.410385,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control enterprise for insights
8fd5ec81-38b7-1c80-6f82-7c122e266862,insights_custom_25,2025-04-23T18:44:38.410389,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control custom for insights
55666a01-3dfd-0ec6-a065-c688f8f7c072,events_enabled_26,2025-04-23T18:44:38.410393,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control enabled for events
e00902ee-0d12-ac8c-48fa-66653ae2245a,events_beta_27,2025-04-23T18:44:38.410397,posthog/posthog_fork/frontend/src/lib/constants,false,Flag to control beta for events
568dcab5-65d5-00bc-fb63-e88b98f2d1c4,events_preview_28,2025-04-23T18:44:38.410400,posthog/posthog_fork/frontend/src/lib/constants,false,Flag to control preview for events
840b70ea-75e1-7be9-eecd-d391fc4f6a2f,events_new_ui_29,2025-04-23T18:44:38.410404,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control new_ui for events
c6d2e3af-f81c-590f-e10e-343323b0b812,events_improved_30,2025-04-23T18:44:38.410409,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control improved for events
8a923d94-7633-cfc9-99d2-c1b3141fbd8f,events_redesigned_31,2025-04-23T18:44:38.410413,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control redesigned for events
1a43c485-d8af-073f-f180-794a1ae4fcf8,events_optimized_32,2025-04-23T18:44:38.410416,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control optimized for events
e465ccf0-d3d0-765a-6c67-ad7b962fc6f5,events_debug_33,2025-04-23T18:44:38.410420,posthog/posthog_fork/frontend/src/lib/constants,false,Flag to control debug for events
57e5def3-6857-b8db-d4ae-59d0d7ea06ff,events_alt_experience_34,2025-04-23T18:44:38.410424,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control alt_experience for events
8c901b47-3497-2fe1-09f7-cb957472c22c,events_simplified_35,2025-04-23T18:44:38.410428,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control simplified for events
a9de43f7-6e92-462c-0edc-6cee7108d8df,events_advanced_36,2025-04-23T18:44:38.410431,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control advanced for events
294b6faa-4094-7aac-ba57-90321f337b0d,events_enterprise_37,2025-04-23T18:44:38.410435,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control enterprise for events
bd143449-ecc3-c8d8-7ec5-2cd8ed8e7007,events_custom_38,2025-04-23T18:44:38.410439,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control custom for events
d236a2c5-f20a-e86a-5735-8c069023bfb5,persons_enabled_39,2025-04-23T18:44:38.410442,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control enabled for persons
e7adbd4a-dc74-9e23-8849-4515f0a1f6ef,persons_beta_40,2025-04-23T18:44:38.410447,posthog/posthog_fork/frontend/src/lib/constants,false,Flag to control beta for persons
3f7f558b-8a7f-f554-5e15-db888cbb77be,persons_preview_41,2025-04-23T18:44:38.410451,posthog/posthog_fork/frontend/src/lib/constants,false,Flag to control preview for persons
d625d185-c26e-a116-931d-00d8bcb368eb,persons_new_ui_42,2025-04-23T18:44:38.410455,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control new_ui for persons
a239ca54-400c-3543-47c7-93dc05dcba14,persons_improved_43,2025-04-23T18:44:38.410459,posthog/posthog_fork/frontend/src/lib/constants,true,Flag to control improved for persons
