guid,name,creation_timestamp,creation_source,spec_description,spec_file_path,spec_language
cf1f2731-9bcc-44e4-2366-c5cf10878aab,Event,2025-04-23T18:44:38.407204,posthog/posthog_fork/posthog/models/event.py,Event class in posthog/models/event.py,posthog/models/event.py,python
b6437623-8616-7786-5830-f72056ed21cc,Event_1,2025-04-23T18:44:38.407209,posthog/posthog_fork/posthog/models/event.py,Event_1 class in posthog/models/event.py,posthog/models/event.py,python
8f1d232c-d6c2-f246-bbbf-07eecdc96063,Event_2,2025-04-23T18:44:38.407214,posthog/posthog_fork/posthog/models/event.py,Event_2 class in posthog/models/event.py,posthog/models/event.py,python
c5536f79-3d9b-3428-e697-36905dcb8577,Event_3,2025-04-23T18:44:38.407219,posthog/posthog_fork/posthog/models/event.py,Event_3 class in posthog/models/event.py,posthog/models/event.py,python
dedcf2db-0a0e-6c08-5d98-34a7b072241b,Event_4,2025-04-23T18:44:38.407224,posthog/posthog_fork/posthog/models/event.py,Event_4 class in posthog/models/event.py,posthog/models/event.py,python
40dd7fd1-32dc-e9ef-c785-8171af123d00,Event_5,2025-04-23T18:44:38.407228,posthog/posthog_fork/posthog/models/event.py,Event_5 class in posthog/models/event.py,posthog/models/event.py,python
19b8e735-c618-c3d0-afde-e98a80f930c6,Event_6,2025-04-23T18:44:38.407232,posthog/posthog_fork/posthog/models/event.py,Event_6 class in posthog/models/event.py,posthog/models/event.py,python
08f0859d-9fb3-dbc4-37da-de0bc5503908,Event_7,2025-04-23T18:44:38.407236,posthog/posthog_fork/posthog/models/event.py,Event_7 class in posthog/models/event.py,posthog/models/event.py,python
a14569ed-b211-3bc5-9e01-5038c6697627,Event_8,2025-04-23T18:44:38.407492,posthog/posthog_fork/posthog/models/event.py,Event_8 class in posthog/models/event.py,posthog/models/event.py,python
80aafca5-309b-caba-49a0-ff5e7bf3dd3c,Event_9,2025-04-23T18:44:38.407496,posthog/posthog_fork/posthog/models/event.py,Event_9 class in posthog/models/event.py,posthog/models/event.py,python
6f568727-38a8-5c76-7083-3f30941d8f5d,Person,2025-04-23T18:44:38.407502,posthog/posthog_fork/posthog/models/person.py,Person class in posthog/models/person.py,posthog/models/person.py,python
9d6fd085-3814-4501-7ef8-101d20da9e52,Person_1,2025-04-23T18:44:38.407507,posthog/posthog_fork/posthog/models/person.py,Person_1 class in posthog/models/person.py,posthog/models/person.py,python
25aebb36-091a-25c7-95b0-52667ebb08db,Person_2,2025-04-23T18:44:38.407511,posthog/posthog_fork/posthog/models/person.py,Person_2 class in posthog/models/person.py,posthog/models/person.py,python
c4d8bb3b-4864-fc4f-0555-b475958764bc,Person_3,2025-04-23T18:44:38.407515,posthog/posthog_fork/posthog/models/person.py,Person_3 class in posthog/models/person.py,posthog/models/person.py,python
dfe5f4b4-ed5f-7460-d19b-e883cd5eed83,Person_4,2025-04-23T18:44:38.407519,posthog/posthog_fork/posthog/models/person.py,Person_4 class in posthog/models/person.py,posthog/models/person.py,python
