guid,name,source_guid,source_type,target_guid,target_type,creation_timestamp,creation_source
d9141ed3-f23a-ac21-9c7c-30c8319c7069,django_web_app_exposes_events_api,fc0483d0-7462-84cf-8145-b8cefe04bbb3,component,4c97d452-5d94-a04c-7640-fdd9fc640315,module,2025-04-23T18:42:31.092280,posthog/posthog_fork/README.md
d5d8bd70-1627-3273-ca53-0a0bd3aac5ab,django_web_app_exposes_persons_api,fc0483d0-7462-84cf-8145-b8cefe04bbb3,component,2e4a9158-7100-a198-eace-1fb3ea1dd955,module,2025-04-23T18:42:31.092285,posthog/posthog_fork/README.md
921c3d13-1232-a48e-2243-a6c45ff5ad89,django_web_app_exposes_insights_api,fc0483d0-7462-84cf-8145-b8cefe04bbb3,component,930107a0-a9b6-cf6d-d619-dfe5737404b4,module,2025-04-23T18:42:31.092289,posthog/posthog_fork/README.md
9238e18e-f0f3-a2a3-1f9b-7d61c9989989,django_web_app_exposes_feature_flags_api,fc0483d0-7462-84cf-8145-b8cefe04bbb3,component,6c6fc470-e388-5b87-e864-b088ffb6265c,module,2025-04-23T18:42:31.092293,posthog/posthog_fork/README.md
f11b80bb-cf68-c506-c2f1-9c73e03ab857,django_web_app_exposes_experiments_api,fc0483d0-7462-84cf-8145-b8cefe04bbb3,component,0e0d6a44-e837-0db9-74f7-f9aaf72084fb,module,2025-04-23T18:42:31.092298,posthog/posthog_fork/README.md
39ffd8ed-c37d-5ad9-d19d-402192e2bf20,django_web_app_exposes_recordings_api,fc0483d0-7462-84cf-8145-b8cefe04bbb3,component,26e5bcb1-c8e6-03b6-1526-50596ce6a6a5,module,2025-04-23T18:42:31.092301,posthog/posthog_fork/README.md
c2fdd058-77f6-2633-1a13-a8fa8b71c1c6,django_web_app_exposes_surveys_api,fc0483d0-7462-84cf-8145-b8cefe04bbb3,component,a7d4f0be-c5e4-3b93-755c-eace78547f3a,module,2025-04-23T18:42:31.092305,posthog/posthog_fork/README.md
faca105e-b77f-ea7a-b488-365a2237cbcc,frontend_app_exposes_dashboard_ux,25d87628-0832-bffb-0142-44fe39b6b033,component,311844b9-b2d7-c55a-29bb-27513e4d5289,module,2025-04-23T18:42:31.092309,posthog/posthog_fork/README.md
6bf32817-cc99-987a-d729-41d5adcb0b69,frontend_app_exposes_events_explorer_ux,25d87628-0832-bffb-0142-44fe39b6b033,component,6f81eb2d-b215-de7a-95c2-42fa4a974cfd,module,2025-04-23T18:42:31.092313,posthog/posthog_fork/README.md
a0677676-a668-b407-93e6-b79883a4ca83,frontend_app_exposes_persons_explorer_ux,25d87628-0832-bffb-0142-44fe39b6b033,component,be658235-180e-1f57-8393-125e45ea27f3,module,2025-04-23T18:42:31.092316,posthog/posthog_fork/README.md
34eb5c0a-cb58-2846-d9aa-fcefb1bc51d9,frontend_app_exposes_insights_ux,25d87628-0832-bffb-0142-44fe39b6b033,component,d779ea1c-504f-9f54-c7de-c1db163869c2,module,2025-04-23T18:42:31.092320,posthog/posthog_fork/README.md
ec47d0de-9032-66b5-0711-eb67ff295722,frontend_app_exposes_feature_flags_ux,25d87628-0832-bffb-0142-44fe39b6b033,component,95d848ff-ae29-fbf8-422c-c75bd6e3a3c0,module,2025-04-23T18:42:31.092324,posthog/posthog_fork/README.md
52158905-1d1a-3f2f-41dc-6175aca6c2c7,frontend_app_exposes_experiments_ux,25d87628-0832-bffb-0142-44fe39b6b033,component,86adf78e-5def-8813-1251-034a29cbab55,module,2025-04-23T18:42:31.092329,posthog/posthog_fork/README.md
3e498158-7e76-0cf0-3dfc-ae6b70eb93e0,frontend_app_exposes_session_replay_ux,25d87628-0832-bffb-0142-44fe39b6b033,component,6d11ac13-4c06-4d73-da77-34b3832717d3,module,2025-04-23T18:42:31.092333,posthog/posthog_fork/README.md
45d3f6c7-70a4-7e68-d3cd-f918d5ecb5b3,frontend_app_exposes_surveys_ux,25d87628-0832-bffb-0142-44fe39b6b033,component,338b706e-ad3f-0ac4-8d76-f8fb769ce73a,module,2025-04-23T18:42:31.092337,posthog/posthog_fork/README.md
